SampleID_old,StationCode,New_Lat,New_Long,COMID,E,OE,pMMI,CSCI,SampleID_old.1
403S00772_5.20.09_1,403S00772,34.4146283,-118.92884,17574807,8.416212091,1.140655665,0.865200534,1.002928099,403S00772_5.20.09_1
403S00831_6.10.10_1,403S00831,34.430471,-118.83183,17574531,11.88484052,0.500637765,0.501145653,0.500891709,403S00831_6.10.10_1
403S00875_6.24.10_1,403S00875,34.5566544,-119.3063,17567963,8.21887649,0.784778796,0.770702268,0.777740532,403S00875_6.24.10_1
403S00960_6.2.10_1,403S00960,34.5907602,-118.46176,17569839,6.498596969,1.092543519,0.856132389,0.974337954,403S00960_6.2.10_1
403S01136_6.13.11_1,403S01136,34.6276219,-118.74403,17572259,7.819825644,1.112556775,0.968296341,1.040426558,403S01136_6.13.11_1
403S01163_6.8.09_1,403S01163,34.6985895,-118.8648,17569197,7.736421264,1.163328585,1.074598033,1.118963309,403S01163_6.8.09_1
403S01195_6.10.09_1,403S01195,34.5583603,-119.26767,17567929,7.043702831,0.851824693,0.812446355,0.832135524,403S01195_6.10.09_1
403S01272_6.9.09_1,403S01272,34.4030438,-118.69122,17574691,7.828174807,1.009175216,0.817268277,0.913221746,403S01272_6.9.09_1
403S01536_7.12.11_1,403S01536,34.5690899,-118.39213,17569981,9.55487078,1.138162959,0.861980988,1.000071973,403S01536_7.12.11_1
403S01707_6.7.10_1,403S01707,34.598357,-119.34798,17568571,7.083543279,0.818799261,0.636636131,0.727717696,403S01707_6.7.10_1
403S01728_7.13.11_1,403S01728,34.574901,-118.46002,17569947,8.896778182,1.337562852,1.129514588,1.23353872,403S01728_7.13.11_1
403S01784_6.9.09_1,403S01784,34.4025266,-118.74659,17575785,7.822193334,0.760656218,0.708827546,0.734741882,403S01784_6.9.09_1
403S01883_6.21.10_1,403S01883,34.7162595,-119.01885,17567221,6.553834939,1.037560461,0.968835561,1.003198011,403S01883_6.21.10_1
403S02764_6.14.11_1,403S02764,34.4477819,-118.7549,17574353,7.824140657,0.97135268,0.673504831,0.822428756,403S02764_6.14.11_1
403S03320_6.8.10_1,403S03320,34.4000033,-118.72342,17574773,11.87341676,0.736940358,0.57669018,0.656815269,403S03320_6.8.10_1
403S03643_6.24.10_1,403S03643,34.5620881,-119.12887,17567991,10.80488547,1.048136978,0.926535833,0.987336405,403S03643_6.24.10_1
403S03832_6.8.09_1,403S03832,34.4017533,-118.78462,17575867,7.879267505,0.67265136,0.543682454,0.608166907,403S03832_6.8.09_1
403S04868_6.15.11_1,403S04868,34.4049151,-118.93944,948070356,7.922761981,1.003437945,1.025738057,1.014588001,403S04868_6.15.11_1
403S05247_6.1.10_1,403S05247,34.3693071,-118.98742,948070359,7.866433325,0.959774232,0.818436411,0.889105321,403S05247_6.1.10_1
403S05291_6.7.10_1,403S05291,34.5639777,-119.26304,17567911,7.068515716,1.273251749,0.977777708,1.125514729,403S05291_6.7.10_1
403S06283_6.13.12_1,403S06283,34.6938801,-118.86075,17569203,7.737461904,1.182558326,1.178798674,1.1806785,403S06283_6.13.12_1
403S06315_6.27.12_1,403S06315,34.5922323,-119.31034,17567721,7.086749642,1.121811889,0.753912229,0.937862059,403S06315_6.27.12_1
403S06660_6.14.12_1,403S06660,34.4296395,-118.92374,17574519,8.419112151,0.982882738,1.072256482,1.02756961,403S06660_6.14.12_1
403S07024_6.13.12_1,403S07024,34.6091998,-118.75772,17569679,7.78959646,0.327359705,0.372623749,0.349991727,403S07024_6.13.12_1
403S07227_6.27.12_1,403S07227,34.5620828,-119.16664,17567931,9.480630573,0.632869296,0.71308316,0.672976228,403S07227_6.27.12_1
403S11084_6.9.10_1,403S11084,34.4248673,-118.56073,17574547,7.725865379,0.634233158,0.528006572,0.581119865,403S11084_6.9.10_1
403S14156_6.9.09_1,403S14156,34.4252649,-118.58262,17574541,7.733585826,0.775836738,0.474492497,0.625164617,403S14156_6.9.09_1
403S15608_6.8.10_1,403S15608,34.4018979,-118.70052,17574697,7.828665547,0.996338387,0.57294427,0.784641328,403S15608_6.8.10_1
403S16332_6.26.13_1,403S16332,34.5317333,-118.7580909,17570169,7.806961666,0.634049482,0.602216543,0.618133013,403S16332_6.26.13_1
403S16493_6.24.13_1,403S16493,34.68672206,-118.8453414,17569237,7.73991582,0.600781728,0.985258739,0.793020233,403S16493_6.24.13_1
403S16978_6.26.13_1,403S16978,34.42314167,-118.7676907,17574539,7.823342081,1.150403486,0.784944233,0.96767386,403S16978_6.26.13_1
403S18093_6.24.13_1,403S18093,34.69441881,-118.8565009,17569203,7.223295378,0.986391893,0.907919534,0.947155713,403S18093_6.24.13_1
403S34646_6.25.13_1,403S34646,34.42555553,-118.5661534,17574547,7.725038713,0.388347568,0.402805637,0.395576603,403S34646_6.25.13_1
403S39062_6.25.13_1,403S39062,34.43231469,-118.617167,17574585,7.749875092,0.658075122,0.627612495,0.642843809,403S39062_6.25.13_1
403STC064_6.8.11_1,403STC064,34.5581481,-119.10459,17567965,14.77690635,1.008330137,1.02113359,1.014731863,403STC064_6.8.11_1
403STC086_6.21.11_1,403STC086,34.5562473,-119.20592,17567995,6.525513276,0.993536149,0.886601586,0.940068868,403STC086_6.21.11_1
403WE0501_5.14.13_1,403WE0501,34.5413991,-118.77434,17570115,11.91286334,1.036694508,0.945117479,0.990905993,403WE0501_5.14.13_1
403WE0540_5.14.14_1,403WE0540,34.6509686,-119.12032,17567407,8.055924128,0.926026596,0.878993982,0.902510289,403WE0540_5.14.14_1
403WE0683_5.15.13_1,403WE0683,34.4396074,-119.07726,17572791,9.46356687,1.216947777,1.258647653,1.237797715,403WE0683_5.15.13_1
403WE1027_5.14.14_1,403WE1027,34.7265549,-119.02943,17567207,8.480309877,1.002321864,0.921263062,0.961792463,403WE1027_5.14.14_1
404BA0084_6.4.08_1,404BA0084,34.0904364,-118.94854,20365103,6.774264752,1.180939968,0.964016333,1.07247815,404BA0084_6.4.08_1
404BA0104_6.18.08_1,404BA0104,34.0946846,-118.73172,20364957,7.692930808,0.825433136,0.640838809,0.733135972,404BA0104_6.18.08_1
404BA0142_6.18.08_1,404BA0142,34.0504769,-118.77572,20365145,6.769153253,1.322174231,1.167909417,1.245041824,404BA0142_6.18.08_1
404BA0376_6.5.08_1,404BA0376,34.1159699,-118.66184,20364947,6.818442342,1.026627439,0.797470462,0.91204895,404BA0376_6.5.08_1
404BA0526_6.4.08_1,404BA0526,34.0422483,-118.8715,20365143,6.901114285,1.144742671,0.964614181,1.054678426,404BA0526_6.4.08_1
404BA0616_6.3.08_1,404BA0616,34.1739569,-118.69901,20364691,7.67387184,0.873092507,0.606607176,0.739849841,404BA0616_6.3.08_1
404BA0808_6.3.14_1,404BA0808,34.113506,-118.778914,20364887,8.319701102,0.597978213,0.573230446,0.58560433,404BA0808_6.3.14_1
404BA0852_6.3.08_1,404BA0852,34.0783557,-118.81985,20365057,7.645330196,0.915591586,0.901990332,0.908790959,404BA0852_6.3.08_1
404BA0964_6.4.08_1,404BA0964,34.0604318,-118.9652,20365103,7.486819546,0.667840325,0.905032694,0.78643651,404BA0964_6.4.08_1
404BA1128_6.3.14_1,404BA1128,34.10329,-118.712649,20364949,10.98953239,0.759813949,0.740025666,0.749919807,404BA1128_6.3.14_1
404BA1144_6.10.08_1,404BA1144,34.0600696,-118.63744,20365109,6.711128859,1.296354188,0.930736795,1.113545491,404BA1144_6.10.08_1
404BA1166_6.4.09_1,404BA1166,34.0374964,-118.74963,20365911,7.728037128,0.996372025,0.954077665,0.975224845,404BA1166_6.4.09_1
404M07346_7.1.15_1,404M07346,33.8024,-118.39639,20366125,7.459770698,0.804314267,0.499607528,0.651960897,404M07346_7.1.15_1
404M07349_7.15.15_1,404M07349,34.07803,-118.70166,20365093,7.753871071,0.767358645,0.686906908,0.727132776,404M07349_7.15.15_1
404S02920_5.12.09_1,404S02920,34.1771192,-118.76634,20364685,7.629213951,0.609499226,0.461773774,0.5356365,404S02920_5.12.09_1
404S03048_5.13.09_1,404S03048,34.1834952,-118.79048,948070152,6.845029279,1.00803075,0.50615989,0.75709532,404S03048_5.13.09_1
404S05992_5.12.09_1,404S05992,34.1566207,-118.75836,20364737,8.313522111,0.601429807,0.523810655,0.562620231,404S05992_5.12.09_1
404S06456_5.14.09_1,404S06456,34.0639417,-118.58722,20365153,8.306340707,1.083509612,0.891524214,0.987516913,404S06456_5.14.09_1
404S08040_5.12.09_1,404S08040,34.1439575,-118.75545,20365885,10.96585683,0.455960722,0.319268876,0.387614799,404S08040_5.12.09_1
404S08616_5.13.09_1,404S08616,34.1213372,-118.79107,20364835,8.341851185,0.503485366,0.315871431,0.409678399,404S08616_5.13.09_1
404S08846_6.22.10_1,404S08846,34.0544356,-118.58175,20365153,7.563653505,1.024637101,0.897687076,0.961162089,404S08846_6.22.10_1
404S11406_5.11.09_1,404S11406,34.048696,-118.68987,20365167,7.700269004,0.707767481,0.544158886,0.625963184,404S11406_5.11.09_1
404S11880_6.7.11_1,404S11880,34.1252931,-118.70828,20364891,8.863525822,0.846164399,0.615465358,0.730814878,404S11880_6.7.11_1
404S13160_6.21.10_1,404S13160,34.1577493,-118.75972,20364737,8.331838964,0.15602798,0.290025735,0.223026857,404S13160_6.21.10_1
404S13416_6.8.11_1,404S13416,34.0987507,-118.71595,20364949,10.98661295,0.910198625,0.619111869,0.764655247,404S13416_6.8.11_1
404S13672_6.8.11_1,404S13672,34.0754009,-118.70292,20365093,7.753871071,0.902774877,0.593554968,0.748164922,404S13672_6.8.11_1
404S14952_6.15.11_1,404S14952,34.14268,-118.7009,20364891,10.45944921,0.521059942,0.453909822,0.487484882,404S14952_6.15.11_1
404S16168_6.23.10_1,404S16168,34.0676895,-118.70704,20365093,7.747918403,0.638881277,0.567216127,0.603048702,404S16168_6.23.10_1
404S16232_6.9.11_1,404S16232,34.1254982,-118.75317,20365889,8.901447119,0.28085321,0.567310849,0.42408203,404S16232_6.9.11_1
