SampleID_old,StationCode,COMID,E,OE,pMMI,CSCI,SampleID_old.1
111HSCAER_7.26.11_1,111HSCAER,8305452,7.141493171,1.120213912,0.92569185,1.022952881,111HSCAER_7.26.11_1
111PAL105_7.13.11_1,111PAL105,8284780,21.44915915,1.025681233,1.036831813,1.031256523,111PAL105_7.13.11_1
111PS0008_9.29.08_1,111PS0008,8303686,16.83154397,0.404003341,0.417846711,0.410925026,111PS0008_9.29.08_1
111PS0013_8.19.08_1,111PS0013,2705873,15.96779413,1.014542138,0.657737152,0.836139645,111PS0013_8.19.08_1
111PS0057_8.18.08_1,111PS0057,2705647,22.68047064,0.983224747,0.853963442,0.918594094,111PS0057_8.18.08_1
111PS0095_8.27.09_1,111PS0095,8288634,16.26601707,1.1834489,0.920626664,1.052037782,111PS0095_8.27.09_1
111PS0110_6.9.14_1,111PS0110,8308814,18.15933342,1.002239431,1.095337344,1.048788387,111PS0110_6.9.14_1
111PS0121_7.20.10_1,111PS0121,8285008,14.03230152,0.851606558,0.663284811,0.757445685,111PS0121_7.20.10_1
111PS0144_8.18.10_1,111PS0144,8294689,17.52637052,0.901498686,1.034558312,0.968028499,111PS0144_8.18.10_1
111PS0159_7.14.11_1,111PS0159,8287442,15.66175083,0.801315264,0.710148853,0.755732059,111PS0159_7.14.11_1
111PS0160_7.25.11_1,111PS0160,8306902,22.80617773,1.157581087,1.111270824,1.134425955,111PS0160_7.25.11_1
111PS0169_7.25.11_1,111PS0169,2703219,15.37436057,1.078093617,0.947292114,1.012692865,111PS0169_7.25.11_1
111PS0178_8.14.12_1,111PS0178,2703063,19.62007941,0.98623454,1.023643921,1.00493923,111PS0178_8.14.12_1
111PS0204_8.17.10_1,111PS0204,8309206,7.626887673,0.898138309,0.924010569,0.911074439,111PS0204_8.17.10_1
111PS0237_9.12.13_1,111PS0237,2706215,15.35365545,0.833677689,0.753522775,0.793600232,111PS0237_9.12.13_1
111RSCAER_8.8.11_1,111RSCAER,8294601,19.71833172,1.072605953,0.961782445,1.017194199,111RSCAER_8.8.11_1
111TGCAER_7.24.12_1,111TGCAER,8308598,18.55588033,1.096148479,0.998538487,1.047343483,111TGCAER_7.24.12_1
