StationID,New_Lat,New_Long
SMC04239,34.3607261,-119.31117
SMC04294,32.93776564,-117.1417065
SMC04308,34.1938427,-118.90776
SMC04383,34.5022107,-119.35587
SMC04399,34.3073017,-119.30126
SMC04426,33.0069669,-116.66995
SMC04524,34.24762604,-118.0335586
SMC04532,34.1559541,-118.28772
SMC04600,34.3972362,-118.71045
SMC04661,33.4060694,-117.225
SMC04682,32.9711528,-116.64815
SMC04749,33.8575368,-117.21321
SMC04756,34.2709208,-118.92691
SMC04795,34.479889,-119.17068
SMC04806,32.89033124,-117.1935657
SMC04880,34.3088434,-118.09828
SMC04932,34.2013757,-119.00115
SMC04934,33.03306902,-117.1625869
SMC04972,34.24042879,-117.9346293
SMC05017,33.11264881,-117.107745
SMC05020,34.2349708,-118.17772
SMC05109,33.4744657,-117.1391
SMC05146,32.8452739,-116.61347
SMC05165,33.5818344,-117.25572
SMC05199,34.4041244,-119.28071
SMC05230,33.8730987,-117.75076
SMC05243,34.5924824,-119.25123
SMC05296,34.5548103,-118.77543
SMC05332,34.186847,-118.90743
SMC05379,33.7277949,-117.77911
SMC05402,32.8046848,-116.57311
SMC05407,34.5012511,-119.35044
SMC05423,34.2864603,-119.30791
SMC05524,34.2703268,-118.91724
SMC05567,34.32042598,-119.089273
SMC05640,34.2786712,-118.22029
SMC05694,33.8617481,-118.19751
SMC05702,32.8320149,-117.22946
SMC05759,34.3523389,-119.03461
SMC05764,34.2311986,-119.11095
SMC05848,34.31804348,-118.3196642
SMC05956,34.2289976,-118.97103
SMC05968,34.23484409,-117.8055227
SMC06019,33.6826123,-117.81233
SMC06036,34.2309189,-118.93493
SMC06044,34.22210116,-118.1777087
SMC06079,34.4110452,-119.0820596
SMC06188,34.28189342,-118.198017
SMC06216,34.2737902,-118.31563
SMC06252,34.19336624,-118.017228
SMC06288,34.26670658,-117.8444777
SMC06298,32.9119894,-116.57136
SMC06302,33.867005,-117.85366
SMC06356,34.20146377,-118.911647
SMC06458,32.6690158,-117.01724
SMC06467,33.7911793,-117.71768
SMC06496,34.1696784,-117.88903
SMC06612,34.28615853,-118.8546428
