id,site_type,ASCI
114RR2899_9.13.11_1,Stressed,1.0481155
114WE0614_7.9.12_1,Reference,1.024102537
114WE0614_7.9.12_2,Reference,0.980150972
114WER118_8.20.08_1,Intermediate,1.100397884
115EBAG01_7.1.10_1,Reference,0.89133502
115SALG01_6.30.10_1,Intermediate,0.907966604
115SC6093_7.7.11_1,Intermediate,0.876158633
115SC6093_7.7.11_2,Intermediate,0.837684471
201AHO350_6.20.12_1,Reference,0.904543665
201CHE300_6.18.12_1,Reference,0.949724025
201DW0079_6.5.14_1,NA,0.916274383
201DW0143_5.13.14_1,NA,0.79939053
201DW0207_5.13.14_1,NA,0.609006641
201DW0271_6.23.14_1,NA,0.882536466
201LAG190_10.6.08_1,Intermediate,0.859145963
201LAG335_7.15.09_1,Reference,0.88079294
201LAG380_7.14.09_1,Intermediate,0.876442582
201MRS020_9.13.10_1,Reference,1.029876705
201RDW080_4.29.09_1,Intermediate,1.037159922
201RDW080_5.7.08_1,Intermediate,0.786677904
201RDW080_6.2.10_1,Intermediate,0.921310676
201RDW080_6.23.08_1,Intermediate,0.950288006
201RDW080_6.3.09_1,Intermediate,0.945336327
201RDW080_6.3.09_2,Intermediate,0.995881828
201RDW080_8.11.09_1,Intermediate,0.825327258
201RDW080_8.12.08_1,Intermediate,1.005365867
202BUT030_6.29.10_1,Reference,0.897428094
202BUT040_6.14.11_1,Reference,0.869226774
202BUT040_6.4.14_1,Reference,1.016633284
202BUT050_6.16.09_1,Reference,0.355951628
202BUT480_6.25.12_1,Reference,0.759748947
202BUT600_6.26.12_1,Reference,0.780804084
202BUT850_6.4.13_1,Stressed,0.956784341
202DRY010_6.5.13_1,Reference,0.845545456
202DW0018_5.6.14_1,NA,0.75711554
202DW0050_6.16.14_1,NA,0.843878795
202DW0050_6.16.14_2,NA,0.734642015
202DW0194_5.6.14_1,NA,0.897131329
202LAH950_6.13.12_1,Intermediate,0.846694548
202MIC150_5.7.14_1,Intermediate,0.792411056
202PES162_4.27.09_1,Intermediate,0.957233034
202PES162_5.1.08_1,Intermediate,0.779368694
202PES162_6.16.09_1,Intermediate,0.817186827
202PES162_6.18.08_1,Intermediate,0.9083431
202PES162_6.7.10_1,Intermediate,1.081205533
202PES162_8.17.09_1,Intermediate,1.109565263
202PES162_9.10.08_1,Intermediate,1.02579684
202PES162_9.10.08_2,Intermediate,1.118204701
202PES168_6.6.13_1,Reference,0.874065484
202PS0134_5.31.11_1,Stressed,0.773115234
202PS0246_6.5.13_1,Intermediate,0.98005728
202R00024_6.6.12_1,Reference,0.927545926
202R00072_5.29.12_1,NA,0.91781657
202R00087_5.30.12_1,Stressed,0.807441558
202R00248_5.23.13_1,Intermediate,0.580329329
202R00248_5.23.13_2,Intermediate,0.797819861
202R00280_5.22.13_1,Reference,0.627280256
202R00284_6.15.12_1,Stressed,1.063910912
202R00908_5.21.13_1,Stressed,0.827493086
202SPE090_6.15.09_1,Reference,0.977619641
202TUN600_5.12.14_1,Intermediate,0.929118219
203PS0070_7.19.10_1,Stressed,0.908688924
203PS0070_9.7.10_1,Stressed,0.82761585
203R00039_5.14.12_1,Stressed,0.739833047
203R00983_6.6.13_1,Intermediate,0.745320637
204AHOACR_6.2.14_1,Reference,0.827220779
204ALA320_6.17.13_1,Intermediate,0.779926869
204ALA382_6.11.13_1,Intermediate,1.07000389
204ALA396_6.24.13_1,Intermediate,1.10842039
204ALA410_5.8.13_1,Intermediate,1.059416483
204ALA500_6.10.13_1,Reference,0.982310081
204ALA500_6.10.13_2,Reference,1.113644742
204ALA525_5.22.12_1,Intermediate,1.198206438
204ALP040_4.10.11_1,Stressed,0.352726428
204ALP040_6.29.11_1,Stressed,0.215556372
204ALP105_4.10.11_1,Stressed,0.461690444
204ALP151_4.10.11_1,Stressed,0.724382623
204ALP151_6.29.11_1,Stressed,0.719700912
204ARH090_6.2.14_1,Reference,1.153223369
204DW0039_5.13.14_1,NA,0.749358225
204DW0074_5.7.14_1,NA,1.069130273
204DW0150_6.10.14_1,NA,0.789254977
204DW0202_5.12.14_1,NA,0.870019755
204DW0227_5.12.14_1,NA,0.843023949
204IND200_4.13.09_1,Reference,0.928695175
204IND200_4.29.08_1,Reference,0.918715356
204IND200_5.20.08_1,Intermediate,0.857992807
204IND200_5.20.08_2,Intermediate,0.802655425
204IND200_5.25.10_1,Reference,0.993157215
204IND200_5.25.10_2,Reference,1.098699885
204IND200_6.11.09_1,Reference,0.971396256
204IND200_6.16.08_1,Intermediate,0.923001403
204PS0038_6.19.08_1,Stressed,0.484682573
204PS0094_7.14.10_1,Stressed,0.769966821
204PS0102_6.15.11_1,Stressed,0.829725332
204PS0102_6.15.11_2,Stressed,0.759069262
204PS0102_8.10.11_1,Stressed,0.768183473
204PS0118_6.15.11_1,Stressed,0.95886934
204R00047_6.6.12_1,Stressed,0.793706483
204R00063_6.4.13_1,Stressed,0.677644206
204R00068_5.31.12_1,Stressed,0.633410255
204R00084_5.24.12_1,Stressed,0.68444694
204R00100_5.30.12_1,Stressed,0.801334363
204R00180_5.30.12_1,Stressed,0.857024703
204R00189_5.6.13_1,Reference,0.938745994
204R00191_5.29.12_1,Stressed,0.955731143
204R00200_5.31.12_1,Stressed,0.797937976
204R00232_6.12.12_1,Stressed,0.669575123
204R00232_6.12.12_2,Stressed,0.752173116
204R00244_6.12.12_1,Stressed,0.705363634
204R00303_6.14.12_1,Stressed,0.632772608
204R00319_6.7.12_1,Stressed,0.789154496
204R00319_6.7.12_2,Stressed,0.593774812
204R00327_5.7.13_1,Stressed,0.637869273
204R00334_5.8.13_1,Stressed,0.897792726
204R00340_6.11.12_1,Stressed,0.680566092
204R00356_6.4.12_1,Stressed,0.83674283
204R00367_6.12.12_1,Stressed,0.862901419
204R00383_6.11.12_1,Stressed,0.58408276
204R00391_6.6.12_1,Stressed,0.827528477
204R00436_5.20.13_1,Stressed,0.835049962
204R00447_4.22.13_1,Stressed,0.714096283
204R00455_6.13.12_1,Stressed,0.783922337
204R00473_5.9.13_1,Stressed,0.851741256
204R00473_5.9.13_2,Stressed,0.788000001
204R00520_5.28.13_1,Stressed,0.742867871
204R00583_6.13.12_1,Stressed,0.699772111
204R00590_5.8.13_1,Intermediate,0.882960663
204R00596_5.31.12_1,Stressed,0.721046456
204R00623_6.3.13_1,Stressed,0.474596512
204R00639_6.19.12_1,Stressed,0.786050334
204R00647_6.18.12_1,Intermediate,0.812533952
204R00680_5.28.13_1,Stressed,0.677781596
204R00724_5.21.13_1,Stressed,0.676802518
