STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE
32528,389328N1213211W001,13N06E33M002M,NA,38.9328,-121.321,Unknown,Unknown,5-021.64,North American,Placer,85,Irrigation,Unknown
17217,389405N1213162W001,13N06E33C001M,NA,38.9405,-121.316,Unknown,Unknown,5-021.64,North American,Placer,391,Irrigation,Unknown
17216,389448N1213561W001,13N06E30M001M,NA,38.9448,-121.356,Unknown,Unknown,5-021.64,North American,Placer,270,Irrigation,Unknown
51333,389463N1213493W001,NA,MW-16,38.9463,-121.349,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,46,Observation,Single Well
17211,389631N1213611W001,13N05E24J001M,NA,38.9631,-121.361,Unknown,Unknown,5-021.64,North American,Placer,NA,Residential,Unknown
35631,389652N1213744W001,13N05E24E002M,NA,38.9652,-121.374,Unknown,Unknown,5-021.64,North American,Placer,140,Irrigation,Unknown
35635,389671N1213479W001,13N06E19B001M,NA,38.9671,-121.348,Unknown,Unknown,5-021.64,North American,Placer,330,Unknown,Unknown
17210,389674N1214063W001,13N05E22C003M,NA,38.9674,-121.406,Unknown,Unknown,5-021.64,North American,Placer,400,Irrigation,Unknown
51328,389740N1213606W001,NA,Cemetery,38.974,-121.361,Unknown,5 ft.,5-021.64,North American,Placer,111,Irrigation,Single Well
51331,389764N1213710W001,NA,MW-2,38.9764,-121.371,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,45,Observation,Single Well
51332,389774N1213728W001,NA,MW-3,38.9774,-121.373,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,35,Observation,Single Well
51330,389785N1213713W001,NA,MW-1,38.9785,-121.371,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,40,Observation,Single Well
51327,389791N1213727W001,13N05E13D003M,Old Well #2,38.9791,-121.373,Digital Elevation Model,5 ft.,5-021.64,North American,Placer,209,Industrial,Single Well
17215,389864N1213187W001,13N06E09N002M,NA,38.9864,-121.319,Unknown,Unknown,5-021.64,North American,Placer,52,Unknown,Unknown
52555,389867N1213654W002,NA,Spencer,38.9867,-121.365,Unknown,Unknown,5-021.64,North American,Placer,107,Residential,Single Well
54782,389919N1214141W002,NA,RDMW-104,38.9919,-121.414,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,50,Observation,Single Well
54781,389950N1214148W002,NA,RDMW-103,38.995,-121.415,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,52,Observation,Single Well
35628,389964N1214008W001,13N05E10B001M,NA,38.9964,-121.401,Unknown,Unknown,5-021.64,North American,Placer,100,Unknown,Unknown
17207,389985N1214047W001,13N05E10B002M,NA,38.9985,-121.405,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
35625,390049N1213984W001,13N05E03J001M,NA,39.0049,-121.398,Unknown,Unknown,5-021.64,North American,Placer,300,Irrigation,Unknown
17201,390061N1213646W001,13N05E01K001M,NA,39.006100000000004,-121.365,Unknown,Unknown,5-021.64,North American,Placer,100,Residential,Unknown
35634,390119N1213407W001,13N06E06A001M,NA,39.0119,-121.341,Unknown,Unknown,5-021.64,North American,Placer,300,Residential,Unknown
52835,390377N1213899W002,NA,GEITest1,39.0377,-121.39,Unknown,Unknown,5-021.61,South Yuba,Placer,89,Observation,Single Well
