STN_ID,SITE_CODE,TOP_PRF,BOT_PRF
48154,338181N1170332W001,260,300
48154,338181N1170332W001,380,560
47749,338192N1164415W001,400,560
47719,338195N1163903W001,479,518
48217,338197N1170347W001,200,300
48217,338197N1170347W001,380,480
48217,338197N1170347W001,540,560
48231,338199N1171433W001,148,917
47302,338205N1180164W001,180,190
47303,338205N1180164W002,2170,2180
47304,338205N1180164W003,774,784
48235,338219N1172264W001,290,665
47296,338229N1179374W001,120,130
47297,338229N1179374W002,1420,1430
47298,338229N1179374W003,578,588
48142,338239N1169921W001,200,296
48142,338239N1169921W001,336,790
47758,338240N1162287W001,382,520
48216,338249N1170354W001,310,530
48153,338259N1170318W001,400,720
48148,338263N1170072W001,300,530
48147,338284N1170104W001,200,600
48218,338292N1171277W001,123,803
48139,338302N1169893W001,370,780
48152,338311N1170264W001,420,840
48193,338312N1171351W001,367,887
48194,338315N1171299W001,260,630
47335,338327N1178668W001,150,170
47336,338327N1178668W002,1370,1380
47337,338327N1178668W003,510,530
48230,338347N1171415W001,100,403
48132,338355N1170257W001,380,800
48192,338368N1171246W001,255,590
46577,338371N1182411W001,740,760
46578,338371N1182411W002,250,270
48208,338383N1170601W001,200,552
48226,338392N1172265W001,170,465
48135,338405N1170041W001,45,205
48198,338414N1171075W001,390,697
48130,338420N1170305W001,352,702
48200,338424N1170883W001,168,528
48203,338437N1170850W001,113,473
48205,338438N1170577W001,200,600
48133,338445N1170084W001,440,900
48204,338446N1170597W001,200,300
48204,338446N1170597W001,340,808
47716,338447N1164665W001,398,806
48202,338451N1170788W001,300,643
48196,338451N1171137W001,500,900
48129,338454N1170196W001,440,840
48129,338454N1170196W001,840,860
48188,338458N1170603W001,280,497
48188,338458N1170603W001,507,697
48225,338464N1172319W001,250,790
48182,338468N1170372W001,418,738
46589,338472N1180587W001,1000,1020
46590,338472N1180587W002,180,200
47294,338488N1179110W001,134,144
47295,338488N1179110W002,480,490
46585,338498N1183497W001,500,540
46595,338501N1182011W001,970,990
46596,338501N1182011W002,160,180
47353,338509N1178361W001,120,130
47354,338509N1178361W002,210,220
48190,338512N1170730W001,200,240
48190,338512N1170730W001,320,520
48190,338512N1170730W001,560,900
48191,338515N1170875W001,370,600
48186,338536N1170581W001,283,604
47291,338552N1178566W001,1390,1400
47292,338552N1178566W002,180,190
47293,338552N1178566W003,330,340
47299,338556N1180264W001,128,138
47300,338556N1180264W002,2105,2115
47301,338556N1180264W003,776,786
48185,338562N1170673W001,404,704
48183,338585N1170634W001,700,1187
48184,338588N1170627W001,700,1187
48126,338593N1172154W001,70,110
48103,338607N1170886W001,700,1000
48110,338615N1170375W001,460,950
47306,338642N1178978W001,180,190
47307,338642N1178978W002,529,539
47308,338642N1178978W003,1419,1429
47274,338649N1178024W001,91,107
4583,338689N1177095W001,40,66
48104,338691N1170839W001,140,160
48104,338691N1170839W001,200,220
48104,338691N1170839W001,260,280
48104,338691N1170839W001,320,340
48104,338691N1170839W001,380,400
48107,338697N1170644W001,160,480
48106,338704N1170650W001,350,720
4581,338715N1177476W001,5,103
47277,338715N1179765W001,410,510
48125,338731N1172168W001,70,110
47757,338762N1163082W001,371,511
46579,338765N1182999W001,770,790
46580,338765N1182999W002,235,255
48094,338814N1170954W001,735,1035
47276,338912N1179758W001,247,257
26700,338942N1178371W001,117,137
47275,338970N1179254W001,150,310
48123,338982N1171940W001,240,340
48123,338982N1171940W001,360,565
48123,338982N1171940W001,575,595
48122,338991N1172000W001,175,750
48120,338995N1171958W001,175,450
47756,339000N1163643W001,342,430
46725,339024N1174697W001,66,111
48121,339025N1171928W001,246,360
48121,339025N1171928W001,380,725
48121,339025N1171928W001,735,755
48420,339031N1167470W001,330,508
51406,339034N1167436W001,417,491
25355,339064N1167649W001,373,383
25356,339064N1167649W002,330,350
25357,339064N1167649W003,240,260
48119,339079N1171724W001,162,392
48118,339083N1171698W001,270,470
47715,339102N1164758W001,182,405
50683,339102N1165284W001,360,410
50683,339102N1165284W001,435,500
50683,339102N1165284W001,520,650
46581,339117N1183662W001,910,950
46582,339117N1183662W002,240,260
46601,339119N1180554W001,990,1010
46724,339153N1174576W001,110,162
48419,339172N1168442W001,460,680
48090,339192N1171213W001,504,1080
46591,339213N1181380W001,940,960
46592,339213N1181380W002,250,270
37849,339215N1168184W001,980,1000
26107,339215N1168184W002,790,810
37850,339215N1168184W003,640,660
26108,339215N1168184W004,550,570
47755,339220N1164430W001,177,207
47957,339223N1166994W001,225,535
46604,339234N1182566W001,885,905
46723,339251N1174342W001,63,106
48415,339253N1168513W001,1040,1060
48416,339253N1168513W002,840,860
48417,339253N1168513W003,660,680
48418,339253N1168513W004,580,600
48080,339265N1176217W001,60,100
38484,339268N1179326W001,880,1210
25354,339286N1169467W001,270,480
48073,339303N1175950W001,75,85
47714,339320N1165142W001,270,500
46722,339320N1174420W001,50,87
26109,339322N1167194W001,500,740
25456,339324N1166887W001,320,600
25353,339335N1169380W001,420,1152
48116,339347N1172403W001,130,300
48117,339347N1172408W001,130,300
46602,339360N1180002W001,600,620
46603,339360N1180002W002,200,220
26101,339383N1168595W001,940,1000
26102,339383N1168595W002,580,600
46686,339390N1165135W001,220,300
47482,339397N1169691W001,445,494
47482,339397N1169691W001,534,592
47482,339397N1169691W001,624,630
47482,339397N1169691W001,644,657
47482,339397N1169691W001,661,670
47482,339397N1169691W001,690,782
46717,339410N1173930W001,100,160
24543,339456N1170469W001,80,100
24543,339456N1170469W001,130,170
24543,339456N1170469W001,320,350
24543,339456N1170469W001,430,530
24543,339456N1170469W001,590,600
24543,339456N1170469W001,660,690
24543,339456N1170469W001,720,780
24543,339456N1170469W001,850,980
24543,339456N1170469W001,1020,1110
48115,339460N1172431W001,170,320
48115,339460N1172431W001,335,420
46607,339480N1172444W001,360,430
48078,339526N1176523W001,65,105
48079,339534N1176112W001,90,130
26047,339540N1169472W001,880,900
37777,339540N1169472W002,750,770
26048,339540N1169472W003,610,630
37778,339540N1169472W004,240,260
46687,339549N1164928W001,274,291
46687,339549N1164928W001,513,517
46687,339549N1164928W001,661,699
46687,339549N1164928W001,761,784
48081,339566N1175810W001,70,110
47480,339628N1169732W001,603,1014
48076,339655N1176275W001,124,164
46583,339670N1183597W001,430,450
46584,339670N1183597W002,280,300
37775,339681N1170153W001,375,496
48077,339681N1176730W001,110,150
26172,339685N1169745W001,1000,1020
48075,339689N1176279W001,135,175
46719,339690N1173590W001,144,218
48074,339750N1175187W001,75,135
48074,339750N1175187W001,150,230
46157,339762N1176143W001,180,270
46157,339762N1176143W001,290,340
46158,339762N1176180W001,190,220
46158,339762N1176180W001,260,340
46158,339762N1176180W001,390,430
46685,339763N1165446W001,526,800
48082,339770N1175500W001,75,115
46588,339807N1180991W001,154.5,174.5
48085,339825N1175757W001,155,290
48085,339825N1175757W001,310,390
48083,339868N1175279W001,110,150
46593,339880N1182370W001,690,710
46594,339880N1182370W002,275,295
48071,339898N1176931W001,190,310
49043,340015N1178726W001,20,100
49045,340035N1178541W001,30,100
48068,340040N1175131W001,130,160
48068,340040N1175131W001,230,240
48068,340040N1175131W001,275,295
50661,340043N1178600W001,35,55
50661,340043N1178600W001,70,100
48086,340045N1176407W001,230,270
48086,340045N1176407W001,300,350
48086,340045N1176407W001,395,405
48086,340045N1176407W001,445,455
48086,340045N1176407W001,480,550
49039,340061N1179335W001,100,120
49039,340061N1179335W001,130,155
46600,340079N1181221W001,370,390
46713,340080N1173940W001,134,170
48942,340097N1179480W001,210,230
46599,340129N1183076W001,550,570
50660,340133N1178378W001,30,145
51607,340142N1184220W001,141,156
51605,340145N1184208W001,141,156
50412,340161N1184263W001,240,269.5
50413,340161N1184263W002,164,184
50414,340161N1184263W003,116.5,136
50415,340161N1184263W004,130,145
50416,340161N1184263W005,153,168
50417,340161N1184263W006,114.5,144.5
50418,340161N1184263W007,166.5,180.5
50419,340161N1184263W008,108,148
50420,340161N1184263W009,179.5,199.5
50421,340161N1184263W010,136,151
50422,340161N1184263W011,157,172
46657,340174N1170775W001,260,440
46657,340174N1170775W001,460,659
46721,340180N1173300W001,171,485
54695,340181N1182228W002,160,185
54695,340181N1182228W002,200,220
54695,340181N1182228W002,296,302
54695,340181N1182228W002,330,365
54695,340181N1182228W002,407,417
54695,340181N1182228W002,525,600
54695,340181N1182228W002,620,645
48084,340186N1175642W001,322,470
48084,340186N1175642W001,490,665
48929,340187N1180478W001,128,163
48929,340187N1180478W001,176,191
46682,340225N1170411W002,330,350
48067,340233N1175215W001,230,390
48919,340241N1180565W001,48,97
46656,340259N1170719W001,650,1000
51606,340266N1184214W001,159.5,175.5
46655,340268N1170445W001,197,607
48934,340276N1180657W001,70,82
48941,340278N1179647W001,1063,1078
49046,340290N1178237W001,25,60
51575,340290N1184700W001,121,130
51576,340290N1184700W002,185,215
51577,340292N1184665W001,110,140
50427,340300N1184263W001,202.15,222.15
50428,340300N1184263W002,120,140
50423,340300N1184683W001,145.9,175.9
50424,340300N1184683W002,161.3,191.3
50425,340300N1184683W003,215,246
50429,340300N1184683W004,305.33,335.33
50430,340300N1184683W005,145.9,175.9
50431,340300N1184683W006,190.15,190.45
50432,340300N1184683W007,262.95,263.25
48933,340302N1180682W001,62,82
51578,340303N1184653W001,195,205
51579,340303N1184653W002,295,325
49050,340313N1178215W001,20,70
49050,340313N1178215W001,120,140
48940,340322N1179643W001,246,261
48916,340329N1180454W001,36,40
48916,340329N1180454W001,47,56
48916,340329N1180454W001,68,71
48939,340334N1179796W001,1063,1083
46715,340340N1173840W001,143,172
48938,340355N1179827W001,304,314
46638,340371N1170501W001,200,356
46638,340371N1170501W001,372,470
46639,340372N1170368W001,135,645
48932,340376N1180712W001,82,92
48904,340387N1180160W001,212,262
48066,340389N1176821W001,430,1078
48087,340430N1175630W001,260,300
48087,340430N1175630W001,340,360
48087,340430N1175630W001,420,460
48937,340454N1179830W001,88,98
48936,340469N1179761W001,350,370
46648,340477N1172307W001,305,640
46648,340477N1172307W001,641,1042
48072,340481N1174911W001,243,283
46711,340490N1173200W001,78,300
48935,340496N1179693W001,336,356
50433,340498N1184941W001,145,235
46712,340500N1173510W001,50,280
48065,340540N1177283W001,240,530
48057,340556N1175274W001,400,980
49048,340586N1177624W001,132,143
49048,340586N1177624W001,161,175
49048,340586N1177624W001,181,203
49048,340586N1177624W001,243,245
49047,340586N1177876W001,177,207
49047,340586N1177876W001,253,255
48062,340590N1176293W001,415,430
48062,340590N1176293W001,510,695
48062,340590N1176293W001,770,885
48062,340590N1176293W001,925,1007
49049,340614N1177864W001,145,196
48064,340615N1176887W001,245,294
48064,340615N1176887W001,300,315
48064,340615N1176887W001,325,344
48064,340615N1176887W001,348,378
48064,340615N1176887W001,440,472
48056,340646N1174554W001,450,740
48945,340659N1179899W001,825,875
48053,340661N1174301W001,434,564
48053,340661N1174301W001,594,664
46675,340666N1173040W001,194,220
46675,340666N1173040W001,224,230
46675,340666N1173040W001,250,260
46675,340666N1173040W001,296,324
46675,340666N1173040W001,334,402
46675,340666N1173040W001,430,440
46675,340666N1173040W001,480,510
46675,340666N1173040W001,542,554
46675,340666N1173040W001,560,574
46675,340666N1173040W001,580,596
48069,340672N1173970W001,400,674
48946,340678N1179748W001,825,875
48061,340682N1175896W001,370,903
48930,340697N1180843W001,233,260
48943,340712N1179435W001,1045,1095
46677,340716N1172869W001,70,157
46677,340716N1172869W001,265,328
46677,340716N1172869W001,429,506
46677,340716N1172869W001,537,556
46677,340716N1172869W001,585,591
46677,340716N1172869W001,636,652
46677,340716N1172869W001,740,746
46677,340716N1172869W001,758,808
46677,340716N1172869W001,822,941
46677,340716N1172869W001,957,988
48060,340777N1176616W001,342,476
48060,340777N1176616W001,601,649
48060,340777N1176616W001,696,722
46644,340808N1171475W001,240,564
48063,340814N1177075W001,182,238
48063,340814N1177075W001,266,318
48063,340814N1177075W001,392,448
49014,340816N1177450W001,412,694
48927,340818N1180006W001,40,295
48058,340845N1175849W001,341,363
48058,340845N1175849W001,383,405
48058,340845N1175849W001,432,442
48058,340845N1175849W001,589,604
48058,340845N1175849W001,623,635
48058,340845N1175849W001,703,715
48058,340845N1175849W001,741,810
46674,340847N1173314W001,112,194
46674,340847N1173314W001,198,263
46674,340847N1173314W001,276,282
46674,340847N1173314W001,290,326
48059,340876N1176417W001,445,874
48944,340925N1181304W001,384,394
46643,340927N1171542W001,215,245
46643,340927N1171542W001,340,410
48918,340928N1179439W001,210,231
4663,340931N1179615W001,180,284
48926,340933N1179938W001,40,295
48054,340935N1174885W001,378,810
48908,340939N1178727W001,335,434
48055,340940N1174666W001,380,420
48055,340940N1174666W001,424,462
48055,340940N1174666W001,468,789
48055,340940N1174666W001,802,854
27018,340956N1191087W001,525,565
2551,340956N1191087W002,200,220
46653,340959N1173567W001,198,464
46642,340963N1171821W001,340,1210
48925,340998N1179833W001,60,345
49013,341006N1177096W001,400,490
49011,341019N1177576W001,282,910
49010,341034N1177713W001,424,715
49012,341039N1177292W001,236,304
49012,341039N1177292W001,342,412
49012,341039N1177292W001,418,428
49012,341039N1177292W001,433,487
49012,341039N1177292W001,490,495
49012,341039N1177292W001,502,509
46641,341040N1171337W001,260,285
46641,341040N1171337W001,305,330
46641,341040N1171337W001,415,440
46641,341040N1171337W001,465,490
48924,341070N1179746W001,100,395
48931,341074N1179660W001,270,430
49948,341078N1182518W001,40,205
48923,341116N1179695W001,100,395
48052,341137N1174361W001,650,860
27019,341139N1191348W001,490,550
2553,341139N1191348W002,380,400
27020,341139N1191348W003,310,330
2554,341139N1191348W004,180,200
53608,341139N1191348W005,180,200
53607,341139N1191348W005,310,330
53606,341139N1191348W005,380,400
53605,341139N1191348W005,490,550
49008,341142N1177258W001,90,205
49008,341142N1177258W001,217,223
49008,341142N1177258W001,253,259
49008,341142N1177258W001,271,277
49008,341142N1177258W001,283,333
49008,341142N1177258W001,392,400
46650,341144N1173325W001,240,780
49009,341150N1177115W001,126,136
49009,341150N1177115W001,205,217
48050,341168N1176272W001,230,370
48050,341168N1176272W001,450,650
46640,341171N1171999W001,297,322
46640,341171N1171999W001,330,390
46669,341190N1173080W001,420,440
46670,341190N1173080W002,500,520
46671,341190N1173080W003,373,393
48911,341195N1179186W001,252,474
48663,341197N1176184W001,223,245
48663,341197N1176184W001,265,270
48663,341197N1176184W001,371,411
48663,341197N1176184W001,426,492
2464,341200N1191065W001,930,970
2465,341200N1191065W002,800,840
26935,341200N1191065W003,600,640
2466,341200N1191065W004,330,370
2467,341200N1191065W005,180,220
2468,341200N1191065W006,275,285
46652,341212N1173742W001,384,420
46652,341212N1173742W001,588,594
46652,341212N1173742W001,608,614
46652,341212N1173742W001,630,662
46652,341212N1173742W001,696,720
46652,341212N1173742W001,750,774
46652,341212N1173742W001,832,844
46652,341212N1173742W001,850,870
46652,341212N1173742W001,876,888
26594,341214N1164544W001,400,500
26594,341214N1164544W001,520,590
26594,341214N1164544W001,608,620
26594,341214N1164544W001,644,720
26594,341214N1164544W001,740,920
