STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,tract,ZIP
27850,384705N1213040W001,07N06E10Q001M,NA,38.4705,-121.304,Sacramento,6067009330,95829
29312,384737N1215077W001,07N04E11K001M,NA,38.4737,-121.508,Sacramento,6067004012,95831
6168,384738N1214249W001,07N05E10M001M,NA,38.4738,-121.425,Sacramento,6067009606,95823
4776,384742N1213146W001,07N06E10M002M,NA,38.4742,-121.315,Sacramento,6067009330,95829
27849,384756N1213352W001,07N06E08H001M,SCGA #5,38.4756,-121.335,Sacramento,6067009311,95829
48986,384783N1212311W001,07N07E08B003M,07N07E08B003M,38.4783,-121.231,Sacramento,6067008600,95683
4777,384798N1212614W001,07N06E12A001M,SCGA #6,38.4798,-121.261,Sacramento,6067009326,95830
27860,384799N1212061W001,07N07E09A001M,NA,38.4799,-121.206,Sacramento,6067008600,95683
4791,384799N1212317W001,07N07E08B002M,NA,38.4799,-121.232,Sacramento,6067008600,95683
4948,384832N1211480W001,07N08E06N001M,NA,38.4832,-121.148,Sacramento,6067008600,95683
4789,384848N1212192W001,07N07E04P001M,NA,38.4848,-121.219,Sacramento,6067008600,95683
6167,384851N1214337W001,07N05E04Q001M,07N05E04Q001M,38.4851,-121.434,Sacramento,6067005002,95823
4947,384853N1210703W001,07N08E02L001M,NA,38.4853,-121.07,Sacramento,6067008600,95683
27858,384857N1212077W001,07N07E04J001M,NA,38.4857,-121.208,Sacramento,6067008600,95683
28350,384862N1213726W001,07N05E01J001M,NA,38.4862,-121.373,Sacramento,6067005102,95828
6166,384924N1213736W001,07N05E01H002M,NA,38.4924,-121.374,Sacramento,6067005102,95828
27857,384931N1211797W001,07N07E02C001M,07N07E02C001M,38.4931,-121.18,Sacramento,6067008600,95683
4775,384931N1212618W001,07N06E01A001M,NA,38.4931,-121.262,Sacramento,6067009201,95829
4788,384943N1211947W001,07N07E03B001M,NA,38.4943,-121.195,Sacramento,6067008600,95683
8586,384966N1214476W001,08N05E32R001M,NA,38.4966,-121.448,Sacramento,6067004502,95823
30668,384967N1213342W001,08N06E33N001M,NA,38.4967,-121.334,Sacramento,6067009201,95829
9289,384969N1213022W001,08N06E34R001M,SCGA #19,38.4969,-121.302,Sacramento,6067009201,95829
8587,385002N1214305W001,08N05E33J001M,NA,38.5002,-121.431,Sacramento,6067004802,95828
10437,385021N1214948W001,08N04E36L001M,SCGA #10,38.5021,-121.495,Sacramento,6067003800,95822
9300,385037N1212467W001,08N07E31J001M,SCGA #22,38.5037,-121.247,Sacramento,6067008600,95683
30676,385038N1212203W001,08N07E33E001M,SCGA #23,38.5038,-121.22,Sacramento,6067008600,95683
9288,385047N1213636W001,08N06E31F001M,SCGA #18,38.5047,-121.364,Sacramento,6067009201,95829
31362,385089N1214606W001,08N05E32D001M,NA,38.5089,-121.461,Sacramento,6067004502,95823
9286,385112N1213142W001,08N06E27N001M,SCGA #16,38.5112,-121.314,Sacramento,6067009201,95829
9287,385117N1213241W001,08N06E28P004M,NA,38.5117,-121.324,Sacramento,6067009201,95829
9285,385159N1212845W001,08N06E26K001M,SCGA #14,38.5159,-121.285,Sacramento,6067009005,95827
9284,385177N1212619W001,08N06E25J002M,NA,38.5177,-121.262,Sacramento,6067009005,95827
30666,385190N1213015W001,08N06E27H002M,SCGA #15,38.519,-121.302,Sacramento,6067009201,95829
30667,385223N1213630W001,08N06E30C001M,SCGA #17,38.5223,-121.363,Sacramento,6067009201,95829
8585,385239N1214685W001,08N05E30A001M,NA,38.5239,-121.469,Sacramento,6067004501,95824
9299,385241N1211982W001,08N07E27C001M,NA,38.5241,-121.198,Sacramento,6067008600,95683
30664,385259N1213355W001,08N06E20R001M,SCGA #13,38.5259,-121.336,Sacramento,6067009201,95829
30665,385287N1213347W001,08N06E21N002M,NA,38.5287,-121.335,Sacramento,6067009201,95829
30846,385312N1215006W001,08N04E24M001M,NA,38.5312,-121.501,Sacramento,6067003300,95822
